"{'l': 0.3504791625000001, 'm': 0.6495208374999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.5263446749999999, 'm': 0.473655325, 'h': 0}",-0.1
"{'l': 0, 'm': 0.6595883515000001, 'h': 0.34041164849999994}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.34969324999999996, 'h': 0.6503067500000002}",0.1
"{'l': 0.28637093700000005, 'm': 0.713629063, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.3871560144999999, 'm': 0.6128439855000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.34261887500000004, 'h': 0.657381125}",0.1
"{'l': 0.4962099004999998, 'm': 0.5037900995000002, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0, 'm': 0.9891439119999998, 'h': 0.010856088000000153}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.25097844700000005, 'm': 0.749021553, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.25265239999999994, 'm': 0.7473476, 'h': 0}",0.0
"{'l': 0.2634845265000001, 'm': 0.7365154734999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.2721856950000001, 'h': 0.7278143049999999}",0.1
"{'l': 0.5000821934999999, 'm': 0.49991780650000006, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.4841077610000002, 'm': 0.5158922389999998, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.9461027470000001, 'm': 0.05389725299999992, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.24237045999999984, 'm': 0.75762954, 'h': 0}",-0.1
"{'l': 0.989304491, 'm': 0.010695509000000047, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.20777582500000003, 'h': 0.7922241750000001}",0.0
"{'l': 1, 'm': 0, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.17613969499999993, 'h': 0.8238603050000002}",0.0
"{'l': 1, 'm': 0, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.5660818349999999, 'm': 0.433918165, 'h': 0}",-0.1
"{'l': 0.9766741025000001, 'm': 0.023325897499999915, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.7645852949999999, 'm': 0.23541470499999995, 'h': 0}",-0.1
"{'l': 1, 'm': 0, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.983370453, 'm': 0.016629546999999967, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.7814693249999999, 'm': 0.21853067500000004, 'h': 0}",-0.1
"{'l': 0.27514370050000014, 'm': 0.7248562994999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.47198534000000003, 'm': 0.52801466, 'h': 0}",0.0
"{'l': 0.482485692, 'm': 0.517514308, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.56559232, 'm': 0.4344076799999999, 'h': 0}",-0.1
"{'l': 0.4951497570000001, 'm': 0.5048502429999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.872690545, 'm': 0.12730945499999993, 'h': 0}",-0.1
"{'l': 0.4986913445000001, 'm': 0.5013086554999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.55344145, 'm': 0.44655854999999994, 'h': 0}",-0.1
"{'l': 0.5015608185, 'm': 0.4984391815, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.872690545, 'm': 0.12730945499999993, 'h': 0}",-0.1
"{'l': 0.5049455764999999, 'm': 0.49505442350000006, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.55073345, 'm': 0.44926654999999993, 'h': 0}",-0.1
"{'l': 0.5080179745, 'm': 0.49198202550000003, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.8708958849999999, 'm': 0.12910411499999996, 'h': 0}",-0.1
"{'l': 0, 'm': 0.2882953195, 'h': 0.7117046805}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.533020875, 'm': 0.46697912499999994, 'h': 0}",0.0
"{'l': 0.17686195149999984, 'm': 0.8231380485000002, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.50763961, 'm': 0.49236039, 'h': 0}",-0.1
"{'l': 0, 'm': 0.722318231, 'h': 0.27768176899999997}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.0009389125000001108, 'm': 0.9990610874999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.2318797840000002, 'm': 0.7681202159999998, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0, 'm': 0.9888117649999999, 'h': 0.011188235000000102}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.0004640029999998241, 'm': 0.9995359970000002, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.14760000649999983, 'm': 0.8523999935000002, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.4570603819999999, 'm': 0.5429396180000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.18529429850000012, 'm': 0.8147057014999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.25813022499999994, 'm': 0.7418697750000001, 'h': 0}",0.0
"{'l': 0.5093999419999999, 'm': 0.49060005800000006, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.40812541450000017, 'm': 0.5918745854999998, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
