time,current mc,min energy,most consume,queue length
397201,"(92, 104)",-7.349999086224823e-06,1.3394999999999998e-06,124
397301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,125
397401,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,125
397501,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,125
397601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,125
397701,"(92, 104)",-7.349999086224823e-06,1.0124999999999999e-05,125
397801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,125
397901,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,125
398001,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,125
398101,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,125
398201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,125
398301,"(92, 104)",-7.349999086224823e-06,7.5505e-06,125
398401,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,125
398501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,125
398601,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,125
398701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,125
398801,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,125
398901,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,125
399001,"(92, 104)",-7.349999086224823e-06,7.5505e-06,125
399101,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,125
399201,"(92, 104)",-7.349999086224823e-06,7.5505e-06,125
399301,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
399401,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,126
399501,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
399601,"(92, 104)",-7.349999086224823e-06,1.0097999999999999e-05,126
399701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
399801,"(92, 104)",-7.349999086224823e-06,8.898823529411764e-07,126
399901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
400001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
400101,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
400201,"(92, 104)",-7.349999086224823e-06,9.80392156862745e-07,126
400301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
400401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
400501,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
400601,"(92, 104)",-7.349999086224823e-06,6.862745098039215e-07,126
400701,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
400801,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
400901,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
401001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
401101,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
401201,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,126
401301,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,126
401401,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
401501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
401601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
