min E,p/e,len E,,
4.326923814,0.070767719,94,"(800, 900)",2.27357769
,,,,
4.31108228,0.094946668,79,"(800, 800)",1.811039305
,,,,
4.2959574,0.072843357,96,"(800, 900)",3.156781589
,,,,
4.27990993,0.097731482,79,"(800, 800)",1.477291767
,,,,
4.26489889,0.072843357,95,"(800, 900)",3.408322646
,,,,
4.24804534,0.094259041,79,"(800, 800)",3.164660454
,,,,
4.231673627,0.070255202,98,"(800, 900)",2.185730429
,,,,
4.215696732,0.097011459,83,"(800, 800)",1.602257187
,,,,
4.201174892,0.072306694,95,"(800, 900)",4.240321362
,,,,
4.183927728,0.097257461,82,"(800, 800)",1.946751663
,,,,
4.169304368,0.072490049,95,"(800, 900)",3.034945475
,,,,
4.150604818,0.097257461,79,"(800, 800)",1.632567226
,,,,
4.134861538,0.075355612,94,"(800, 900)",4.6309393
,,,,
4.118494294,0.101102089,79,"(800, 800)",0.668665842
,,,,
4.102972534,0.073700391,94,"(800, 900)",1.522574626
,,,,
4.086343174,0.098881336,81,"(800, 800)",2.690549495
,,,,
4.068708877,0.07159981,96,"(800, 900)",3.280909075
,,,,
4.052639887,0.096063056,84,"(800, 800)",2.156478728
,,,,
4.036267031,0.07159981,98,"(800, 900)",1.975549338
,,,,
4.021068311,0.096012862,79,"(800, 800)",3.024667849
,,,,
4.004065877,0.071562397,93,"(800, 900)",2.073476572
,,,,
3.986996742,0.095437568,79,"(800, 800)",3.608562629
,,,,
3.969431269,0.071133607,93,"(800, 900)",0.435163246
,,,,
3.953989509,0.093666734,80,"(800, 800)",1.966948317
,,,,
3.938535429,0.06981373,95,"(800, 900)",3.540069387
,,,,
2.993474788,0.418899922,31,"(300, 500)",24.59855549
,,,,
5.341834039,0.690210221,10,"(400, 500)",2483.822686
,,,,
5.052099108,0.096384171,78,"(800, 800)",61.92805702
,,,,
4.985278013,0.072672582,96,"(800, 900)",5.809114956
,,,,
4.975884026,0.097502359,85,"(800, 800)",2.865410581
,,,,
4.966455641,0.073629432,96,"(800, 900)",2.577367938
,,,,
4.958015845,0.098786132,77,"(800, 800)",3.957373804
,,,,
4.947875075,0.073629432,94,"(800, 900)",3.702837019
,,,,
4.939799581,0.099983832,83,"(800, 800)",0.752754334
,,,,
4.931381981,0.074522128,91,"(800, 900)",2.615904136
,,,,
4.922864885,0.100903232,83,"(800, 800)",3.408969634
,,,,
4.912065715,0.075207395,92,"(800, 900)",2.277115215
,,,,
4.903972418,0.096554988,74,"(800, 800)",0.920723628
,,,,
4.894240718,0.071966467,95,"(800, 900)",2.759140952
,,,,
4.884452221,0.096554988,80,"(800, 800)",3.133770482
,,,,
4.875934751,0.071407047,95,"(800, 900)",0.704453897
,,,,
4.868522051,0.095804432,85,"(800, 800)",2.570454009
,,,,
4.860173166,0.075018646,97,"(800, 900)",1.349680561
,,,,
4.851062566,0.100649994,83,"(800, 800)",3.025975244
,,,,
4.840999097,0.073907567,97,"(800, 900)",2.005083413
,,,,
4.8316344,0.099159297,82,"(800, 800)",1.799382073
,,,,
4.8227903,0.073907567,95,"(800, 900)",3.405144493
,,,,
4.811625506,0.095675642,82,"(800, 800)",1.954435515
,,,,
4.801701906,0.071311054,99,"(800, 900)",2.971330279
,,,,
4.79156151,0.092715908,79,"(800, 800)",3.118666366
,,,,
4.78226834,0.06910504,94,"(800, 900)",1.995560821
,,,,
4.77396534,0.101902846,80,"(800, 800)",3.522406431
,,,,
4.76587167,0.075952449,94,"(800, 900)",3.537262383
,,,,
4.755165277,0.101902846,77,"(800, 800)",2.035034835
,,,,
4.746197992,0.074409129,94,"(800, 900)",3.384350367
,,,,
4.737847898,0.099832225,80,"(800, 800)",0.961246811
,,,,
4.729392998,0.07528143,95,"(800, 900)",2.466600082
,,,,
4.719913701,0.101002563,80,"(800, 800)",1.885412584
,,,,
4.710803101,0.073379824,93,"(800, 900)",3.70669587
,,,,
4.700176708,0.098451241,78,"(800, 800)",3.471345516
,,,,
4.690115938,0.073379824,95,"(800, 900)",1.108086243
,,,,
4.680195038,0.102060812,78,"(800, 800)",2.043720331
,,,,
4.670412053,0.076070188,95,"(800, 900)",2.544497789
,,,,
4.660077056,0.096445339,81,"(800, 800)",1.921658659
,,,,
4.650190756,0.071884741,93,"(800, 900)",3.392679138
,,,,
4.640417363,0.096970968,76,"(800, 800)",2.735687504
,,,,
4.630871678,0.072276514,95,"(800, 900)",1.637028402
,,,,
4.623920078,0.096970968,81,"(800, 800)",4.040701418
,,,,
4.613730723,0.075057889,95,"(800, 900)",1.505190005
,,,,
4.603812523,0.100702645,81,"(800, 800)",2.303038744
,,,,
4.593637638,0.073842722,95,"(800, 900)",2.939533479
,,,,
4.585312442,0.099072296,80,"(800, 800)",2.113679368
,,,,
4.577227357,0.075669383,97,"(800, 900)",2.440851154
,,,,
4.56723886,0.101523065,79,"(800, 800)",1.802043357
,,,,
4.55816556,0.075669383,94,"(800, 900)",3.393870885
,,,,
4.548621367,0.098839269,83,"(800, 800)",3.374594359
,,,,
4.539024397,0.073669037,98,"(800, 900)",2.445394958
,,,,
4.5300062,0.096554988,83,"(800, 800)",0.942933899
,,,,
4.5212794,0.071966467,93,"(800, 900)",2.884917896
,,,,
4.511874703,0.097844077,82,"(800, 800)",1.87966081
,,,,
4.503729003,0.072927279,95,"(800, 900)",4.454143949
,,,,
4.493429613,0.097844077,83,"(800, 800)",2.573396959
,,,,
4.483729328,0.073519122,96,"(800, 900)",1.747610792
,,,,
4.475815528,0.098638133,81,"(800, 800)",2.771575279
,,,,
4.468119643,0.071584159,96,"(800, 900)",3.591172383
,,,,
4.45826625,0.096042059,80,"(800, 800)",1.34057108
,,,,
4.44896105,0.075786245,95,"(800, 900)",3.344729759
,,,,
4.439611456,0.101679855,77,"(800, 800)",2.631970991
,,,,
4.430873371,0.075786245,93,"(800, 900)",2.094069905
,,,,
4.420970275,0.099328873,79,"(800, 800)",1.755938052
,,,,
4.412131575,0.07403396,92,"(800, 900)",2.617977517
,,,,
4.404115578,0.099746503,79,"(800, 800)",2.333211922
,,,,
4.393911493,0.074345236,96,"(800, 900)",3.746897466
,,,,
4.383631599,0.097062704,79,"(800, 800)",1.885417526
,,,,
4.374320999,0.072344889,93,"(800, 900)",4.388922146
,,,,
4.363595109,0.097062704,81,"(800, 800)",2.100152356
,,,,
4.354121324,0.071518914,96,"(800, 900)",2.398392357
,,,,
4.345300428,0.095954521,81,"(800, 800)",1.473872644
,,,,
4.336579028,0.075412569,96,"(800, 900)",4.140986305
,,,,
4.325392037,0.101178508,77,"(800, 800)",0.935749503
,,,,
4.317432837,0.070333263,95,"(800, 900)",4.377915222
,,,,
4.306821547,0.094363773,77,"(800, 800)",0.667625269
,,,,
4.288769346,0.070333263,90,"(800, 900)",2.225121815
,,,,
4.256195839,0.104191529,78,"(800, 800)",0.847669731
,,,,
4.229254159,0.0776583,94,"(800, 900)",2.741621007
,,,,
4.198288279,0.098396123,78,"(800, 800)",2.104081338
,,,,
4.167304192,0.073338741,94,"(800, 900)",4.036148926
,,,,
4.132191714,0.099703697,80,"(800, 800)",2.033788726
,,,,
4.098986911,0.074313331,93,"(800, 900)",2.31221652
,,,,
4.066811584,0.099703697,82,"(800, 800)",1.665983045
,,,,
4.036104832,0.072344889,97,"(800, 900)",1.377815703
,,,,
4.003782088,0.097062704,83,"(800, 800)",2.948618327
,,,,
3.974239085,0.065194645,97,"(800, 900)",2.423506747
,,,,
3.942192121,0.085821607,76,"(800, 800)",3.568858644
,,,,
2.9969905,0.637967176,9,"(500, 500)",57.95571974
,,,,
2.976259647,0.581497172,21,"(500, 400)",14.17182983
,,,,
4.012509977,0.079075055,81,"(800, 800)",14.43024961
,,,,
4.685125014,0.610657739,21,"(500, 400)",304.0951211
,,,,
4.065960381,0.096909132,80,"(800, 800)",13.93387429
,,,,
4.017830262,0.072682401,94,"(800, 900)",3.103708424
,,,,
4.008056868,0.096403017,77,"(800, 800)",3.295571358
,,,,
3.997569598,0.064804492,93,"(800, 900)",2.990976407
,,,,
3.988935202,0.095231627,77,"(800, 800)",2.309626265
,,,,
